TILGANG1,TILGANG2,ANVENDELSE,TID,Xt
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2007,79159.85391933467
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2008,73126.39063253529
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2009,73444.2200188161
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2010,77334.76954112363
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2011,75869.89634279175
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2012,77617.49260952293
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2013,76593.50982590164
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2014,80374.7315419179
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2015,79210.57885923756
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2016,76984.40951486437
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2017,80708.04847840172
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2018,79724.53943400572
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2019,78394.5693913864
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2020,80503.511
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2021,82678.533
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2022,81481.01820091688
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1967,3574.0252326581663
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1968,3932.7873404367597
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1969,4334.194099833797
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1970,3074.3456186066737
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1971,3225.101428247112
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1972,2853.087035607102
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1973,3635.930457815045
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1974,3943.6351583508194
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1975,4493.531900956485
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1976,3810.7379383384045
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1977,3820.0236494535975
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1978,5075.777068622985
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1979,4889.637918748473
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1980,5393.180559086152
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1981,4972.815797201846
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1982,5596.231198240916
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1983,5802.623727162229
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1984,7455.64421075495
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1985,8502.99325052074
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1986,9389.015561943723
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1987,7953.272728774115
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1988,9599.082070274717
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1989,9929.379930554118
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1990,13332.599092956958
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1991,11571.033051234035
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1992,9572.03382165665
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1993,10628.244639459583
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1994,10286.052393783715
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1995,11092.638253820074
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1996,11053.462073099403
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1997,12169.361257521901
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1998,12736.997997555032
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1999,12252.112641959433
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2000,13404.371264618032
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2001,12861.302325186112
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2002,13980.725203755519
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2003,13377.87241875098
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2004,11875.535901437595
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2005,12212.979686952141
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2006,15894.847267750332
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2007,14624.063533548546
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2008,16441.112971180028
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2009,15946.825259859437
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2010,17924.643140900935
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2011,17384.598590509577
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2012,19134.511241538166
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2013,19984.614577118973
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2014,18974.551933349565
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2015,21059.608177361602
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2016,17359.54778824473
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2017,21154.268573820467
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2018,19383.037771193212
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2019,19042.05640934782
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2020,17556.357
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2021,16200.075
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2022,16085.696175780384
